case,n,recipe,dt_off,dt_on,ratio
80,101,0,0.713579,0.708998,0.9936
80,101,2,0.964714,0.567484,0.5882
80,101,6,0.939500,0.846465,0.9010
80,101,22,0.973153,0.842866,0.8661
80,101,25,0.810681,0.887247,1.0944
80,101,26,0.813171,0.892503,1.0976
81,102,0,0.659800,0.669343,1.0145
81,102,2,0.783093,0.616882,0.7877
81,102,6,0.710480,0.968423,1.3631
81,102,22,0.864940,0.813755,0.9408
81,102,25,0.850096,0.812025,0.9552
81,102,26,0.863155,0.808697,0.9369
82,103,0,0.911851,0.904295,0.9917
82,103,2,0.876089,0.854884,0.9758
82,103,6,0.751092,1.074132,1.4301
82,103,22,0.876614,1.246543,1.4220
82,103,25,0.892875,1.237838,1.3864
82,103,26,0.879988,1.259734,1.4315
83,104,0,0.879694,0.872249,0.9915
83,104,2,0.788173,0.840359,1.0662
83,104,6,0.912278,1.143921,1.2539
83,104,22,0.813729,0.794252,0.9761
83,104,25,0.668008,0.910327,1.3627
83,104,26,0.648874,0.961965,1.4825
84,105,0,0.933079,0.967422,1.0368
84,105,2,0.991870,0.627032,0.6322
84,105,6,0.905950,1.204732,1.3298
84,105,22,0.774847,1.097786,1.4168
84,105,25,1.077742,1.077012,0.9993
84,105,26,1.078786,1.078171,0.9994
85,106,0,0.871223,0.869955,0.9985
85,106,2,1.008450,0.836372,0.8294
85,106,6,1.138503,1.094559,0.9614
85,106,22,1.020212,1.144976,1.1223
85,106,25,1.023702,1.145177,1.1187
85,106,26,1.029439,1.153633,1.1206
86,107,0,0.831487,0.824701,0.9918
86,107,2,0.792409,1.174515,1.4822
86,107,6,0.949459,1.268189,1.3357
86,107,22,0.968249,1.184843,1.2237
86,107,25,0.906573,1.071900,1.1824
86,107,26,0.918639,1.086867,1.1831
87,108,0,0.985265,0.989838,1.0046
87,108,2,1.275727,1.167905,0.9155
87,108,6,1.359959,1.600147,1.1766
87,108,22,0.997461,1.458356,1.4621
87,108,25,1.014927,1.444618,1.4234
87,108,26,1.006508,1.451483,1.4421
88,109,0,0.921965,0.915217,0.9927
88,109,2,0.745603,0.991774,1.3302
88,109,6,0.821034,0.991854,1.2081
88,109,22,0.665189,0.879574,1.3223
88,109,25,0.880504,0.678160,0.7702
88,109,26,0.875811,0.673512,0.7690
89,110,0,1.138029,1.145757,1.0068
89,110,2,1.175714,1.237896,1.0529
89,110,6,1.156901,1.048704,0.9065
89,110,22,1.361527,1.293344,0.9499
89,110,25,1.136556,1.423786,1.2527
89,110,26,1.236387,1.294817,1.0473
90,111,0,0.663053,0.659678,0.9949
90,111,2,0.858304,0.678441,0.7904
90,111,6,0.731017,0.730666,0.9995
90,111,22,0.573638,0.762950,1.3300
90,111,25,0.700286,0.917434,1.3101
90,111,26,0.703647,0.821057,1.1669
91,112,0,1.196088,1.198583,1.0021
91,112,2,1.383064,1.301355,0.9409
91,112,6,0.952855,1.220980,1.2814
91,112,22,1.117371,1.181189,1.0571
91,112,25,1.100430,1.364557,1.2400
91,112,26,1.095803,1.333409,1.2168
92,113,0,1.064764,1.069208,1.0042
92,113,2,1.097569,1.037175,0.9450
92,113,6,0.978888,1.249505,1.2765
92,113,22,1.106601,1.134684,1.0254
92,113,25,1.145218,1.272334,1.1110
92,113,26,1.096892,1.312003,1.1961
93,114,0,0.764468,0.769948,1.0072
93,114,2,1.086594,0.891619,0.8206
93,114,6,1.272924,1.448348,1.1378
93,114,22,1.191500,1.468206,1.2322
93,114,25,1.027844,1.355873,1.3191
93,114,26,1.021071,1.334754,1.3072
94,115,0,0.757277,0.756477,0.9989
94,115,2,0.965580,1.040955,1.0781
94,115,6,0.868787,1.029430,1.1849
94,115,22,0.699779,1.077440,1.5397
94,115,25,0.690128,1.085160,1.5724
94,115,26,0.693682,1.141196,1.6451
95,116,0,1.077796,1.083797,1.0056
95,116,2,0.959285,1.007845,1.0506
95,116,6,0.782696,0.980641,1.2529
95,116,22,0.808022,0.939709,1.1630
95,116,25,0.932442,1.104100,1.1841
95,116,26,0.932656,1.097791,1.1771
96,117,0,1.190363,1.199226,1.0074
96,117,2,1.305029,1.282909,0.9830
96,117,6,0.917949,1.598907,1.7418
96,117,22,1.077257,1.608732,1.4934
96,117,25,1.079861,1.609506,1.4905
96,117,26,1.081294,1.616620,1.4951
97,118,0,1.234892,1.237653,1.0022
97,118,2,1.254909,1.397038,1.1133
97,118,6,1.247479,1.363357,1.0929
97,118,22,0.798827,1.359774,1.7022
97,118,25,1.047049,1.357579,1.2966
97,118,26,1.039927,1.360769,1.3085
98,119,0,1.208415,1.182806,0.9788
98,119,2,1.090707,1.261268,1.1564
98,119,6,1.145090,1.320981,1.1536
98,119,22,1.254870,1.134644,0.9042
98,119,25,1.206328,1.365660,1.1321
98,119,26,1.143955,1.535650,1.3424
99,120,0,1.382151,1.376166,0.9957
99,120,2,1.556276,1.567700,1.0073
99,120,6,1.447299,1.454607,1.0050
99,120,22,1.201169,1.272356,1.0593
99,120,25,1.223448,1.564160,1.2785
99,120,26,1.211382,1.559509,1.2874
