case,n,recipe,dt_off,dt_on,ratio
80,101,0,0.774365,0.717873,0.9270
80,101,2,1.058636,0.972752,0.9189
80,101,6,1.024247,0.944803,0.9224
80,101,22,1.047804,0.977085,0.9325
80,101,25,0.881981,0.822410,0.9325
80,101,26,0.885163,0.805510,0.9100
81,102,0,0.854623,0.665592,0.7788
81,102,2,1.015939,0.769663,0.7576
81,102,6,0.955136,0.723872,0.7579
81,102,22,1.227862,0.874334,0.7121
81,102,25,1.027933,0.863692,0.8402
81,102,26,0.917315,0.871322,0.9499
82,103,0,0.925123,0.914277,0.9883
82,103,2,0.881352,0.878905,0.9972
82,103,6,0.799594,0.792664,0.9913
82,103,22,0.910923,0.906791,0.9955
82,103,25,0.899101,0.881099,0.9800
82,103,26,0.929763,0.864580,0.9299
83,104,0,0.926157,0.911013,0.9836
83,104,2,0.816594,0.786558,0.9632
83,104,6,1.016316,0.885733,0.8715
83,104,22,0.872926,0.774493,0.8872
83,104,25,0.706358,0.668671,0.9466
83,104,26,0.676424,0.637017,0.9417
84,105,0,1.007621,0.926916,0.9199
84,105,2,1.069820,1.003595,0.9381
84,105,6,0.987181,0.953256,0.9656
84,105,22,0.847453,0.779973,0.9204
84,105,25,1.142936,1.087636,0.9516
84,105,26,1.144532,1.079205,0.9429
85,106,0,0.946040,0.890093,0.9409
85,106,2,1.083588,1.023022,0.9441
85,106,6,1.205248,1.127385,0.9354
85,106,22,1.095137,1.031672,0.9420
85,106,25,1.093984,1.026070,0.9379
85,106,26,1.094210,1.032601,0.9437
86,107,0,0.901754,0.841559,0.9332
86,107,2,0.864626,0.790798,0.9146
86,107,6,1.031978,0.958518,0.9288
86,107,22,1.017340,0.970601,0.9541
86,107,25,0.970810,0.898730,0.9258
86,107,26,0.953425,0.894167,0.9378
87,108,0,1.030685,0.994949,0.9653
87,108,2,1.311003,1.275800,0.9731
87,108,6,1.448941,1.379784,0.9523
87,108,22,1.059598,1.008081,0.9514
87,108,25,1.031374,0.993099,0.9629
87,108,26,1.017766,0.989900,0.9726
88,109,0,0.940922,0.904928,0.9617
88,109,2,0.789317,0.730902,0.9260
88,109,6,0.890095,0.815230,0.9159
88,109,22,0.697411,0.645010,0.9249
88,109,25,0.943889,0.871169,0.9230
88,109,26,0.936030,0.877101,0.9370
89,110,0,1.214781,1.138859,0.9375
89,110,2,1.257046,1.178937,0.9379
89,110,6,1.207895,1.122078,0.9290
89,110,22,1.533091,1.355647,0.8843
89,110,25,1.222735,1.157840,0.9469
89,110,26,1.327069,1.171457,0.8827
90,111,0,0.700017,0.672889,0.9612
90,111,2,0.925480,0.864895,0.9345
90,111,6,0.799547,0.745136,0.9319
90,111,22,0.635024,0.593098,0.9340
90,111,25,0.777737,0.720785,0.9268
90,111,26,0.764130,0.729779,0.9550
91,112,0,1.271713,1.196091,0.9405
91,112,2,1.488532,1.382911,0.9290
91,112,6,1.018431,0.950990,0.9338
91,112,22,1.176175,1.113137,0.9464
91,112,25,1.154277,1.097341,0.9507
91,112,26,1.151606,1.111567,0.9652
92,113,0,1.108885,1.055657,0.9520
92,113,2,1.155347,1.093885,0.9468
92,113,6,1.031994,0.969099,0.9391
92,113,22,1.159767,1.120450,0.9661
92,113,25,1.195599,1.129462,0.9447
92,113,26,1.178972,1.101040,0.9339
93,114,0,0.825582,0.766783,0.9288
93,114,2,1.188901,1.089522,0.9164
93,114,6,1.379238,1.291325,0.9363
93,114,22,1.281873,1.198571,0.9350
93,114,25,1.120015,1.035559,0.9246
93,114,26,1.076214,1.036475,0.9631
94,115,0,0.804880,0.761450,0.9460
94,115,2,1.027202,1.000759,0.9743
94,115,6,0.896088,0.872473,0.9736
94,115,22,0.738923,0.686717,0.9293
94,115,25,0.692530,0.696894,1.0063
94,115,26,0.700493,0.694175,0.9910
95,116,0,1.077218,1.086025,1.0082
95,116,2,0.960100,0.962803,1.0028
95,116,6,0.782530,0.784769,1.0029
95,116,22,0.810404,0.814734,1.0053
95,116,25,0.926074,0.934717,1.0093
95,116,26,0.931333,0.933690,1.0025
96,117,0,1.295487,1.191321,0.9196
96,117,2,1.360789,1.305651,0.9595
96,117,6,0.919080,0.911863,0.9921
96,117,22,1.081527,1.080809,0.9993
96,117,25,1.075812,1.075680,0.9999
96,117,26,1.093321,1.078273,0.9862
97,118,0,1.246621,1.240373,0.9950
97,118,2,1.285659,1.263366,0.9827
97,118,6,1.401606,1.324354,0.9449
97,118,22,0.844543,0.809427,0.9584
97,118,25,1.052504,1.046646,0.9944
97,118,26,1.082218,1.051973,0.9721
98,119,0,1.192568,1.191050,0.9987
98,119,2,1.090950,1.102384,1.0105
98,119,6,1.162305,1.166258,1.0034
98,119,22,1.303514,1.281346,0.9830
98,119,25,1.239693,1.227229,0.9899
98,119,26,1.174242,1.143028,0.9734
99,120,0,1.386151,1.373893,0.9912
99,120,2,1.545754,1.555511,1.0063
99,120,6,1.443972,1.450266,1.0044
99,120,22,1.222554,1.217412,0.9958
99,120,25,1.207766,1.216993,1.0076
99,120,26,1.210613,1.208335,0.9981
