case,n,recipe,dt_off,dt_on,ratio
80,101,0,0.710342,0.863111,1.2151
80,101,2,0.971786,1.010498,1.0398
80,101,6,0.940329,0.531763,0.5655
80,101,22,0.970011,0.839593,0.8656
80,101,25,0.810805,0.819742,1.0110
80,101,26,0.819424,0.819706,1.0003
81,102,0,0.653312,0.921680,1.4108
81,102,2,0.751541,0.751547,1.0000
81,102,6,0.708337,0.790741,1.1163
81,102,22,0.862043,0.769839,0.8930
81,102,25,0.860515,0.773840,0.8993
81,102,26,0.858157,0.778451,0.9071
82,103,0,0.895216,0.753467,0.8417
82,103,2,0.853803,1.393019,1.6315
82,103,6,0.756147,0.626339,0.8283
82,103,22,0.857475,0.947822,1.1054
82,103,25,0.884127,0.952519,1.0774
82,103,26,0.877871,0.951232,1.0836
83,104,0,0.929654,0.693055,0.7455
83,104,2,0.770849,0.594227,0.7709
83,104,6,0.908946,0.481456,0.5297
83,104,22,0.877684,0.431865,0.4921
83,104,25,0.646709,0.494209,0.7642
83,104,26,0.639124,0.489094,0.7653
84,105,0,0.928183,1.017782,1.0965
84,105,2,0.995493,0.872539,0.8765
84,105,6,0.911420,0.743073,0.8153
84,105,22,0.774692,0.904088,1.1670
84,105,25,1.072845,0.906101,0.8446
84,105,26,1.071474,0.909683,0.8490
85,106,0,0.869993,0.853868,0.9815
85,106,2,1.012000,1.005769,0.9938
85,106,6,1.123576,1.115536,0.9928
85,106,22,1.020790,0.973016,0.9532
85,106,25,1.024474,0.971004,0.9478
85,106,26,1.021473,0.972335,0.9519
86,107,0,0.834432,0.901583,1.0805
86,107,2,0.834530,1.011747,1.2124
86,107,6,0.959219,0.932025,0.9716
86,107,22,0.997632,1.303163,1.3063
86,107,25,0.898287,1.195974,1.3314
86,107,26,0.897255,1.200840,1.3383
87,108,0,0.987195,0.991518,1.0044
87,108,2,1.351224,1.206346,0.8928
87,108,6,1.369861,1.578288,1.1522
87,108,22,0.988584,1.040604,1.0526
87,108,25,1.031874,1.031851,1.0000
87,108,26,0.998832,1.031428,1.0326
88,109,0,0.927230,0.919238,0.9914
88,109,2,0.737623,0.738240,1.0008
88,109,6,0.817031,0.818299,1.0016
88,109,22,0.652580,0.645407,0.9890
88,109,25,0.877636,0.878919,1.0015
88,109,26,0.880718,0.877787,0.9967
89,110,0,1.169694,1.151249,0.9842
89,110,2,1.181152,1.214925,1.0286
89,110,6,1.211159,1.216826,1.0047
89,110,22,1.352055,1.377025,1.0185
89,110,25,1.168273,1.163112,0.9956
89,110,26,1.285855,1.223940,0.9518
90,111,0,0.665799,0.586365,0.8807
90,111,2,0.866840,0.639488,0.7377
90,111,6,0.754968,1.196360,1.5846
90,111,22,0.614281,0.723920,1.1785
90,111,25,0.746813,0.953489,1.2767
90,111,26,0.718617,0.903872,1.2578
91,112,0,1.198193,1.361370,1.1362
91,112,2,1.380018,1.253827,0.9086
91,112,6,0.970116,1.287861,1.3275
91,112,22,1.121316,0.648144,0.5780
91,112,25,1.125169,0.760602,0.6760
91,112,26,1.116198,0.741358,0.6642
92,113,0,1.072623,1.027891,0.9583
92,113,2,1.101662,1.117675,1.0145
92,113,6,1.046329,1.100399,1.0517
92,113,22,1.101562,1.104863,1.0030
92,113,25,1.135616,1.171272,1.0314
92,113,26,1.095447,1.100909,1.0050
93,114,0,0.760418,1.134810,1.4923
93,114,2,1.103011,1.082039,0.9810
93,114,6,1.282378,1.436785,1.1204
93,114,22,1.193818,1.393956,1.1676
93,114,25,1.031861,1.217055,1.1795
93,114,26,1.065243,1.173752,1.1019
94,115,0,0.759117,0.921925,1.2145
94,115,2,0.988223,1.056480,1.0691
94,115,6,0.860005,0.696268,0.8096
94,115,22,0.707184,0.739521,1.0457
94,115,25,0.687743,0.732972,1.0658
94,115,26,0.688519,0.737139,1.0706
95,116,0,1.082149,0.943617,0.8720
95,116,2,0.959080,0.764284,0.7969
95,116,6,0.782260,0.779785,0.9968
95,116,22,0.827481,0.764238,0.9236
95,116,25,0.924427,0.730512,0.7902
95,116,26,0.936345,0.729263,0.7788
96,117,0,1.189454,1.158597,0.9741
96,117,2,1.296531,1.066903,0.8229
96,117,6,0.916331,0.992360,1.0830
96,117,22,1.077257,0.905329,0.8404
96,117,25,1.075445,0.902263,0.8390
96,117,26,1.080953,0.905890,0.8380
97,118,0,1.239649,1.369431,1.1047
97,118,2,1.253616,1.557845,1.2427
97,118,6,1.261928,1.598188,1.2665
97,118,22,0.799222,1.529691,1.9140
97,118,25,1.035645,1.759543,1.6990
97,118,26,1.043500,1.800134,1.7251
98,119,0,1.198539,1.187832,0.9911
98,119,2,1.094849,1.139113,1.0404
98,119,6,1.156746,1.257264,1.0869
98,119,22,1.271164,1.395036,1.0974
98,119,25,1.211656,1.369141,1.1300
98,119,26,1.161752,1.324357,1.1400
99,120,0,1.377495,1.503951,1.0918
99,120,2,1.546882,1.545856,0.9993
99,120,6,1.443993,1.444531,1.0004
99,120,22,1.196782,1.199370,1.0022
99,120,25,1.209600,1.204183,0.9955
99,120,26,1.200861,1.200415,0.9996
