case,n,recipe,dt_off,dt_on,ratio
80,101,0,0.710748,0.711933,1.0017
80,101,2,0.966292,0.982503,1.0168
80,101,6,0.943019,0.940026,0.9968
80,101,22,0.983277,0.976416,0.9930
80,101,25,0.818155,0.823773,1.0069
80,101,26,0.819455,0.819887,1.0005
81,102,0,0.860354,0.667534,0.7759
81,102,2,1.001186,0.748008,0.7471
81,102,6,0.889883,0.715961,0.8046
81,102,22,1.074556,0.861100,0.8014
81,102,25,1.054072,0.869129,0.8245
81,102,26,0.861184,0.863209,1.0024
82,103,0,0.913464,0.940818,1.0299
82,103,2,0.865807,0.884985,1.0222
82,103,6,0.770590,0.774600,1.0052
82,103,22,0.894463,0.908877,1.0161
82,103,25,0.865698,0.894079,1.0328
82,103,26,0.883383,0.869199,0.9839
83,104,0,0.881062,0.894132,1.0148
83,104,2,0.787216,0.783180,0.9949
83,104,6,0.919519,0.949813,1.0329
83,104,22,0.801902,0.787525,0.9821
83,104,25,0.680463,0.682878,1.0035
83,104,26,0.639185,0.647629,1.0132
84,105,0,0.929337,0.925389,0.9958
84,105,2,0.996833,0.989503,0.9926
84,105,6,0.922195,0.913683,0.9908
84,105,22,0.777291,0.788431,1.0143
84,105,25,1.090311,1.072796,0.9839
84,105,26,1.082334,1.069663,0.9883
85,106,0,0.872882,0.871579,0.9985
85,106,2,1.012754,1.009299,0.9966
85,106,6,1.125455,1.115932,0.9915
85,106,22,1.020827,1.014023,0.9933
85,106,25,1.035309,1.017794,0.9831
85,106,26,1.023738,1.027492,1.0037
86,107,0,0.860434,0.844952,0.9820
86,107,2,0.812786,0.787265,0.9686
86,107,6,0.965602,0.964267,0.9986
86,107,22,1.020424,0.953096,0.9340
86,107,25,0.929616,0.903599,0.9720
86,107,26,0.922430,0.925680,1.0035
87,108,0,0.986838,0.982643,0.9957
87,108,2,1.277569,1.274409,0.9975
87,108,6,1.361650,1.366443,1.0035
87,108,22,1.009883,1.005633,0.9958
87,108,25,1.002228,1.008389,1.0061
87,108,26,1.008876,1.005657,0.9968
88,109,0,0.943971,0.924436,0.9793
88,109,2,0.741140,0.737566,0.9952
88,109,6,0.819145,0.816801,0.9971
88,109,22,0.655684,0.650060,0.9914
88,109,25,0.883613,0.881782,0.9979
88,109,26,0.883832,0.872451,0.9871
89,110,0,1.144884,1.148996,1.0036
89,110,2,1.186775,1.179099,0.9935
89,110,6,1.145889,1.144267,0.9986
89,110,22,1.372811,1.376090,1.0024
89,110,25,1.239566,1.156791,0.9332
89,110,26,1.246427,1.253519,1.0057
90,111,0,0.674233,0.662231,0.9822
90,111,2,0.862850,0.857288,0.9936
90,111,6,0.766194,0.734521,0.9587
90,111,22,0.588605,0.588527,0.9999
90,111,25,0.770617,0.691785,0.8977
90,111,26,0.701972,0.704675,1.0039
91,112,0,1.222926,1.198488,0.9800
91,112,2,1.411548,1.382167,0.9792
91,112,6,0.969089,0.997507,1.0293
91,112,22,1.135284,1.111547,0.9791
91,112,25,1.115670,1.092469,0.9792
91,112,26,1.132136,1.092636,0.9651
92,113,0,1.065668,1.074514,1.0083
92,113,2,1.094706,1.098209,1.0032
92,113,6,0.952300,0.981553,1.0307
92,113,22,1.105385,1.106122,1.0007
92,113,25,1.145584,1.136142,0.9918
92,113,26,1.119950,1.119192,0.9993
93,114,0,0.772208,0.762405,0.9873
93,114,2,1.124266,1.088510,0.9682
93,114,6,1.314908,1.272779,0.9680
93,114,22,1.216483,1.213369,0.9974
93,114,25,1.061872,1.093435,1.0297
93,114,26,1.058521,1.039330,0.9819
94,115,0,0.760714,0.807901,1.0620
94,115,2,0.976118,0.967743,0.9914
94,115,6,0.875531,0.863762,0.9866
94,115,22,0.712280,0.714836,1.0036
94,115,25,0.700777,0.695939,0.9931
94,115,26,0.697984,0.697064,0.9987
95,116,0,1.081059,1.090068,1.0083
95,116,2,0.976969,0.958507,0.9811
95,116,6,0.782484,0.783938,1.0019
95,116,22,0.808625,0.807433,0.9985
95,116,25,0.931220,0.934700,1.0037
95,116,26,0.939487,0.930813,0.9908
96,117,0,1.188962,1.191092,1.0018
96,117,2,1.307893,1.300515,0.9944
96,117,6,0.924924,0.921300,0.9961
96,117,22,1.083184,1.076405,0.9937
96,117,25,1.092444,1.079803,0.9884
96,117,26,1.077032,1.080367,1.0031
97,118,0,1.237501,1.269572,1.0259
97,118,2,1.246805,1.253591,1.0054
97,118,6,1.253506,1.253915,1.0003
97,118,22,0.803682,0.829749,1.0324
97,118,25,1.077208,1.059519,0.9836
97,118,26,1.039049,1.052123,1.0126
98,119,0,1.193658,1.192366,0.9989
98,119,2,1.105451,1.100134,0.9952
98,119,6,1.156757,1.147479,0.9920
98,119,22,1.274677,1.303550,1.0227
98,119,25,1.232840,1.213028,0.9839
98,119,26,1.146848,1.147637,1.0007
99,120,0,1.388872,1.375286,0.9902
99,120,2,1.554804,1.546499,0.9947
99,120,6,1.456511,1.459391,1.0020
99,120,22,1.220618,1.201102,0.9840
99,120,25,1.215134,1.206772,0.9931
99,120,26,1.214612,1.203897,0.9912
