[scipy] source=system
[l129] loading dataset ...
[l235] 100 cases, n>=0, prune_B=8.0, kw={'area_R': 1.5, 'area_g': 1.1, 'area_tol': 0.006, 'area_price': 1.0}
[scipy] source=system
[l235] A = optimizer_constructive   B = optimizer_l235lp

 case     n    A wall    B wall    speed   A solve   B solve  pyspeed
----------------------------------------------------------------------
    0    21     0.015     0.014    1.065x     0.007     0.007   1.138x
    1    22     0.031     0.029    1.064x     0.013     0.014   1.126x
    2    23     0.017     0.016    1.067x     0.008     0.008   1.146x
    3    24     0.027     0.024    1.084x     0.012     0.011   1.146x
    4    25     0.039     0.036    1.096x     0.019     0.019   1.206x
    5    26     0.040     0.036    1.106x     0.017     0.017   1.201x
    6    27     0.020     0.018    1.101x     0.009     0.009   1.216x
    7    28     0.023     0.021    1.116x     0.010     0.010   1.226x
    8    29     0.024     0.022    1.108x     0.013     0.013   1.258x
    9    30     0.041     0.036    1.134x     0.019     0.018   1.254x
   10    31     0.106     0.094    1.125x     0.055     0.055   1.300x
   11    32     0.021     0.019    1.123x     0.009     0.009   1.242x
   12    33     0.067     0.059    1.129x     0.038     0.038   1.351x
   13    34     0.028     0.026    1.108x     0.014     0.014   1.238x
   14    35     0.034     0.030    1.139x     0.018     0.018   1.341x
   15    36     0.064     0.055    1.150x     0.034     0.034   1.362x
   16    37     0.032     0.028    1.142x     0.015     0.015   1.320x
   17    38     0.078     0.067    1.154x     0.034     0.035   1.327x
   18    39     0.058     0.050    1.142x     0.029     0.029   1.327x
   19    40     0.061     0.052    1.169x     0.029     0.029   1.365x
   20    41     0.067     0.058    1.153x     0.030     0.031   1.337x
   21    42     0.106     0.093    1.144x     0.051     0.051   1.330x
   22    43     0.125     0.105    1.187x     0.052     0.052   1.359x
   23    44     0.148     0.133    1.114x     0.090     0.088   1.295x
   24    45     0.053     0.047    1.126x     0.031     0.031   1.398x
   25    46     0.046     0.039    1.182x     0.021     0.021   1.383x
   26    47     0.045     0.039    1.147x     0.024     0.024   1.377x
   27    48     0.041     0.035    1.178x     0.019     0.019   1.417x
   28    49     0.122     0.108    1.125x     0.075     0.075   1.416x
   29    50     0.039     0.033    1.187x     0.018     0.018   1.400x
   30    51     0.125     0.110    1.139x     0.067     0.067   1.350x
   31    52     0.138     0.121    1.142x     0.071     0.071   1.350x
   32    53     0.089     0.075    1.195x     0.040     0.040   1.401x
   33    54     0.062     0.054    1.139x     0.037     0.036   1.417x
   34    55     0.047     0.039    1.182x     0.021     0.021   1.397x
   35    56     0.048     0.040    1.205x     0.024     0.024   1.527x
   36    57     0.129     0.111    1.157x     0.066     0.067   1.412x
   37    58     0.145     0.127    1.143x     0.076     0.077   1.369x
   38    59     0.063     0.053    1.186x     0.029     0.029   1.414x
   39    60     0.091     0.080    1.139x     0.056     0.056   1.465x
   40    61     0.149     0.129    1.160x     0.084     0.084   1.467x
   41    62     0.067     0.057    1.177x     0.036     0.036   1.487x
   42    63     0.068     0.059    1.162x     0.040     0.040   1.522x
   43    64     0.070     0.059    1.184x     0.038     0.038   1.507x
